model;Fuel;Engine_power;Passenger capacity;color;rim_size
A;Eletric;50;4;White;14
A;Eletric;50;4;White;14
A;Eletric;50;4;White;14
A;Eletric;50;4;White;14
A;Eletric;50;4;White;14
A;Eletric;50;4;White;14
A;Eletric;50;4;White;14
A;Eletric;50;4;White;14
A;Eletric;50;4;White;14
A;Eletric;50;4;White;14
A;Eletric;50;4;White;14
A;Eletric;50;4;White;14
A;Eletric;50;4;White;14
A;Eletric;50;4;White;14
A;Eletric;50;4;White;14
A;Eletric;50;4;White;14
A;Eletric;50;4;White;14
A;Eletric;50;4;White;14
A;Eletric;50;4;White;14
A;Eletric;50;4;White;14
A;Eletric;50;4;White;14
A;Eletric;50;4;White;16
A;Eletric;50;4;White;16
A;Eletric;50;4;White;16
A;Eletric;50;4;White;16
A;Eletric;50;4;White;16
A;Eletric;50;4;White;16
A;Eletric;50;4;White;16
A;Eletric;50;4;White;16
A;Eletric;50;4;White;16
A;Eletric;50;4;White;16
A;Eletric;50;4;White;16
A;Eletric;50;4;White;16
A;Eletric;50;4;White;18
A;Eletric;50;4;White;18
A;Eletric;50;4;White;18
A;Eletric;50;4;White;18
A;Eletric;50;4;White;18
A;Eletric;50;4;White;18
A;Eletric;50;4;White;18
A;Eletric;50;4;White;18
A;Eletric;50;4;White;18
A;Eletric;50;4;White;18
A;Eletric;50;4;White;18
A;Eletric;50;4;White;18
A;Eletric;50;4;White;18
A;Eletric;50;4;White;18
A;Eletric;50;4;White;18
A;Eletric;50;4;White;18
A;Eletric;50;4;White;18
A;Eletric;50;4;White;18
A;Eletric;50;4;White;18
A;Eletric;50;4;White;18
A;Eletric;50;4;White;18
A;Eletric;50;4;White;18
A;Eletric;50;4;White;18
A;Eletric;50;4;White;18
A;Eletric;50;4;White;18
A;Eletric;50;4;Black;14
A;Eletric;50;4;Black;14
A;Eletric;50;4;Black;14
A;Eletric;50;4;Black;14
A;Eletric;50;4;Black;14
A;Eletric;50;4;Black;14
A;Eletric;50;4;Black;14
A;Eletric;50;4;Black;14
A;Eletric;50;4;Black;14
A;Eletric;50;4;Black;14
A;Eletric;50;4;Black;14
A;Eletric;50;4;Black;14
A;Eletric;50;4;Black;14
A;Eletric;50;4;Black;14
A;Eletric;50;4;Black;14
A;Eletric;50;4;Black;14
A;Eletric;50;4;Black;14
A;Eletric;50;4;Black;14
A;Eletric;50;4;Black;14
A;Eletric;50;4;Black;14
A;Eletric;50;4;Black;14
A;Eletric;50;4;Black;14
A;Eletric;50;4;Black;14
A;Eletric;50;4;Black;14
A;Eletric;50;4;Black;14
A;Eletric;50;4;Black;14
A;Eletric;50;4;Black;14
A;Eletric;50;4;Black;14
A;Eletric;50;4;Black;14
A;Eletric;50;4;Black;14
A;Eletric;50;4;Black;14
A;Eletric;50;4;Black;14
A;Eletric;50;4;Black;14
A;Eletric;50;4;Black;14
A;Eletric;50;4;Black;14
A;Eletric;50;4;Black;16
A;Eletric;50;4;Black;16
A;Eletric;50;4;Black;16
A;Eletric;50;4;Black;16
A;Eletric;50;4;Black;16
A;Eletric;50;4;Black;16
A;Eletric;50;4;Black;16
A;Eletric;50;4;Black;18
A;Eletric;50;4;Black;18
A;Eletric;50;4;Black;18
A;Eletric;50;4;Black;18
A;Eletric;50;4;Black;18
A;Eletric;50;4;Black;18
A;Eletric;50;4;Black;18
A;Eletric;50;4;Black;18
A;Eletric;50;4;Black;18
A;Eletric;50;4;Black;18
A;Eletric;50;4;Black;18
A;Eletric;50;4;Black;18
A;Eletric;50;4;Black;18
A;Eletric;50;4;Black;18
A;Eletric;50;4;Black;18
A;Eletric;50;4;Black;18
A;Eletric;50;4;Grey;14
A;Eletric;50;4;Grey;14
A;Eletric;50;4;Grey;16
A;Eletric;50;4;Grey;16
A;Eletric;50;4;Grey;16
A;Eletric;50;4;Grey;16
A;Eletric;50;4;Grey;16
A;Eletric;50;4;Grey;16
A;Eletric;50;4;Grey;16
A;Eletric;50;4;Grey;16
A;Eletric;50;4;Grey;16
A;Eletric;50;4;Grey;16
A;Eletric;50;4;Grey;16
A;Eletric;50;4;Grey;16
A;Eletric;50;4;Grey;16
A;Eletric;50;4;Grey;16
A;Eletric;50;4;Grey;16
A;Eletric;50;4;Grey;16
A;Eletric;50;4;Grey;16
A;Eletric;50;4;Grey;16
A;Eletric;50;4;Grey;16
A;Eletric;50;4;Grey;16
A;Eletric;50;4;Grey;16
A;Eletric;50;4;Grey;16
A;Eletric;50;4;Grey;16
A;Eletric;50;4;Grey;16
A;Eletric;50;4;Grey;16
A;Eletric;50;4;Grey;16
A;Eletric;50;4;Grey;16
A;Eletric;50;4;Grey;16
A;Eletric;50;4;Grey;16
A;Eletric;50;4;Grey;16
A;Eletric;50;4;Grey;18
A;Eletric;50;4;Grey;18
A;Eletric;50;4;Grey;18
A;Eletric;50;4;Grey;18
A;Eletric;50;4;Grey;18
A;Eletric;50;4;Grey;18
A;Eletric;50;4;Grey;18
A;Hybrid;50;4;Black;16
A;Hybrid;50;4;Black;16
A;Hybrid;50;4;Black;16
A;Hybrid;50;4;Black;18
A;Hybrid;50;4;Black;18
A;Hybrid;50;4;Black;18
A;Hybrid;50;4;Black;18
A;Hybrid;50;4;Black;18
A;Hybrid;50;4;Black;18
A;Hybrid;50;4;Black;18
A;Hybrid;50;4;Black;18
A;Hybrid;50;4;Black;18
A;Hybrid;50;4;Black;18
A;Hybrid;50;4;Black;18
A;Hybrid;50;4;Black;18
A;Hybrid;50;4;Black;18
A;Hybrid;50;4;Black;18
A;Hybrid;50;4;Black;18
A;Hybrid;50;4;Black;18
A;Hybrid;50;4;Grey;14
A;Hybrid;50;4;Grey;14
A;Hybrid;50;4;Grey;16
A;Hybrid;50;4;Grey;16
A;Hybrid;50;4;Grey;16
A;Hybrid;50;4;Grey;16
A;Hybrid;50;4;Grey;16
A;Hybrid;50;4;Grey;16
A;Hybrid;50;4;Grey;16
A;Hybrid;50;4;Grey;16
A;Hybrid;50;4;Grey;16
A;Hybrid;50;4;Grey;16
A;Hybrid;50;4;Grey;16
A;Hybrid;50;4;Grey;16
A;Hybrid;50;4;Grey;16
A;Hybrid;50;4;Grey;16
A;Hybrid;50;4;Grey;16
A;Hybrid;50;4;Grey;16
A;Hybrid;50;4;Grey;16
A;Hybrid;50;4;Grey;16
A;Hybrid;50;4;Grey;16
A;Hybrid;50;4;Grey;16
A;Hybrid;50;4;Grey;16
A;Hybrid;50;4;Grey;16
A;Hybrid;50;4;Grey;16
A;Hybrid;50;4;Grey;16
A;Hybrid;50;4;Grey;16
A;Hybrid;50;4;Grey;16
A;Hybrid;50;4;Grey;16
A;Hybrid;50;4;Grey;16
A;Hybrid;50;4;Grey;16
A;Hybrid;50;4;Grey;16
A;Hybrid;50;4;Grey;18
A;Hybrid;50;4;Grey;18
A;Hybrid;50;4;Grey;18
A;Hybrid;50;4;Grey;18
A;Hybrid;50;4;Grey;18
A;Hybrid;50;4;Grey;18
A;Hybrid;50;4;Grey;18
A;Hybrid;200;4;White;14
A;Hybrid;200;4;White;14
A;Hybrid;200;4;White;14
A;Hybrid;200;4;White;14
A;Hybrid;200;4;White;14
A;Hybrid;200;4;White;14
A;Hybrid;200;4;White;14
A;Hybrid;200;4;White;14
A;Hybrid;200;4;White;14
A;Hybrid;200;4;White;16
A;Hybrid;200;4;White;16
A;Hybrid;200;4;White;16
A;Hybrid;200;4;White;16
A;Hybrid;200;4;White;16
A;Hybrid;200;4;White;16
A;Hybrid;200;4;White;16
A;Hybrid;200;4;White;16
A;Hybrid;200;4;White;16
A;Hybrid;200;4;White;16
A;Hybrid;200;4;White;16
A;Hybrid;200;4;White;16
A;Hybrid;200;4;White;16
A;Hybrid;200;4;White;18
A;Hybrid;200;4;White;18
A;Hybrid;200;4;White;18
A;Hybrid;200;4;Black;14
A;Hybrid;200;4;Black;14
A;Hybrid;200;4;Black;14
A;Hybrid;200;4;Black;14
A;Hybrid;200;4;Black;14
A;Hybrid;200;4;Black;14
A;Hybrid;200;4;Black;14
A;Hybrid;200;4;Black;14
A;Hybrid;200;4;Black;14
A;Hybrid;200;4;Black;14
A;Hybrid;200;4;Black;14
A;Hybrid;200;4;Black;14
A;Hybrid;200;4;Black;14
A;Hybrid;200;4;Black;14
A;Hybrid;200;4;Black;14
A;Hybrid;200;4;Black;14
A;Hybrid;200;4;Black;14
A;Hybrid;200;4;Black;14
A;Hybrid;200;4;Black;14
A;Hybrid;200;4;Black;14
A;Hybrid;200;4;Black;14
A;Hybrid;200;4;Black;14
A;Hybrid;200;4;Black;14
A;Hybrid;200;4;Black;14
A;Hybrid;200;4;Black;14
A;Hybrid;200;4;Black;14
A;Hybrid;200;4;Black;16
A;Hybrid;200;4;Black;16
A;Hybrid;200;4;Black;16
A;Hybrid;200;4;Black;16
A;Hybrid;200;4;Black;16
A;Hybrid;200;4;Black;16
A;Hybrid;200;4;Black;16
A;Hybrid;200;4;Black;16
A;Hybrid;200;4;Black;16
A;Hybrid;200;4;Black;16
A;Hybrid;200;4;Black;16
A;Hybrid;200;4;Black;16
A;Hybrid;200;4;Black;16
A;Hybrid;200;4;Black;16
A;Hybrid;200;4;Black;16
A;Hybrid;200;4;Black;16
A;Hybrid;200;4;Black;16
A;Hybrid;200;4;Black;16
A;Hybrid;200;4;Black;16
A;Hybrid;200;4;Black;16
A;Hybrid;200;4;Black;16
A;Hybrid;200;4;Black;16
A;Hybrid;200;4;Black;16
A;Hybrid;200;4;Black;16
A;Hybrid;200;4;Black;16
A;Hybrid;200;4;Black;16
A;Hybrid;200;4;Black;16
A;Hybrid;200;4;Black;16
A;Hybrid;200;4;Black;16
A;Hybrid;200;4;Black;16
A;Hybrid;200;4;Black;16
A;Hybrid;200;4;Black;16
A;Hybrid;200;4;Black;16
A;Hybrid;200;4;Black;16
A;Hybrid;200;4;Black;16
A;Hybrid;200;4;Black;16
A;Hybrid;200;4;Black;16
A;Hybrid;200;4;Black;16
A;Hybrid;200;4;Black;16
A;Hybrid;200;4;Black;16
A;Hybrid;200;4;Black;16
A;Hybrid;200;4;Black;16
A;Hybrid;200;4;Black;16
A;Hybrid;200;4;Black;16
A;Hybrid;200;4;Black;16
A;Hybrid;200;4;Black;16
A;Hybrid;200;4;Black;16
A;Hybrid;200;4;Black;16
A;Hybrid;200;4;Black;16
A;Hybrid;200;4;Black;16
A;Hybrid;200;4;Black;16
A;Hybrid;200;4;Black;16
A;Hybrid;200;4;Black;16
A;Hybrid;200;4;Black;16
A;Hybrid;200;4;Black;16
A;Hybrid;200;4;Black;16
A;Hybrid;200;4;Black;16
A;Hybrid;200;4;Black;16
A;Hybrid;200;4;Black;16
A;Hybrid;200;4;Black;16
